阶段,国家,国家编码,产品品线,平台类型,平台,搜索词,URL,Google定向查询,Google搜索URL,批次编码
P1-C,美国,US,家居出行,竞品独立站,Cybex DTC (cybex-online.com),"Cybex Priam, Cybex Mios, Cybex Libelle",https://cybex-online.com/strollers,"site:cybex-online.com ""review"" (""heavy"" OR ""fold"" OR ""canopy"" OR ""recline"")",https://www.google.com/search?q=site%3Acybex-online.com+%22review%22+%28%22heavy%22+OR+%22fold%22+OR+%22canopy%22+OR+%22recline%22%29,BATCH-P1C-US-Cybex
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),Cybex Priam,https://www.amazon.com/s?k=Cybex+Priam&rh=p_72%3A1-2,"site:amazon.com ""Cybex Priam"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Cybex+Priam%22+review+problem,BATCH-P1C-US-Cybex
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),Cybex Mios,https://www.amazon.com/s?k=Cybex+Mios&rh=p_72%3A1-2,"site:amazon.com ""Cybex Mios"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Cybex+Mios%22+review+problem,BATCH-P1C-US-Cybex
P1-C,美国,US,家居出行,竞品独立站Google定向,Google → cybex-online.com,Cybex negative reviews,https://www.google.com/search?q=site%3Acybex-online.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:cybex-online.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Acybex-online.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Cybex
P1-C,美国,US,家居出行,竞品独立站,Babyzen DTC (babyzen.com),"YOYO2, YOYO Bassinet",https://www.babyzen.com/en/strollers,"site:babyzen.com ""review"" (""recline"" OR ""canopy"" OR ""expensive"" OR ""newborn"")",https://www.google.com/search?q=site%3Ababyzen.com+%22review%22+%28%22recline%22+OR+%22canopy%22+OR+%22expensive%22+OR+%22newborn%22%29,BATCH-P1C-US-Babyzen
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),YOYO2,https://www.amazon.com/s?k=YOYO2&rh=p_72%3A1-2,"site:amazon.com ""YOYO2"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22YOYO2%22+review+problem,BATCH-P1C-US-Babyzen
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),YOYO Bassinet,https://www.amazon.com/s?k=YOYO+Bassinet&rh=p_72%3A1-2,"site:amazon.com ""YOYO Bassinet"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22YOYO+Bassinet%22+review+problem,BATCH-P1C-US-Babyzen
P1-C,美国,US,家居出行,竞品独立站Google定向,Google → babyzen.com,Babyzen negative reviews,https://www.google.com/search?q=site%3Ababyzen.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:babyzen.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Ababyzen.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Babyzen
P1-C,美国,US,家居出行,竞品独立站,Graco DTC (gracobaby.com),"Graco Modes Pramette, Graco Jetsetter, Graco FastAction",https://www.gracobaby.com/strollers/,"site:gracobaby.com ""review"" (""heavy"" OR ""fold"" OR ""wheel"" OR ""recline"")",https://www.google.com/search?q=site%3Agracobaby.com+%22review%22+%28%22heavy%22+OR+%22fold%22+OR+%22wheel%22+OR+%22recline%22%29,BATCH-P1C-US-Graco
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),Graco Modes Pramette,https://www.amazon.com/s?k=Graco+Modes+Pramette&rh=p_72%3A1-2,"site:amazon.com ""Graco Modes Pramette"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Graco+Modes+Pramette%22+review+problem,BATCH-P1C-US-Graco
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),Graco Jetsetter,https://www.amazon.com/s?k=Graco+Jetsetter&rh=p_72%3A1-2,"site:amazon.com ""Graco Jetsetter"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Graco+Jetsetter%22+review+problem,BATCH-P1C-US-Graco
P1-C,美国,US,家居出行,竞品独立站Google定向,Google → gracobaby.com,Graco negative reviews,https://www.google.com/search?q=site%3Agracobaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:gracobaby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Agracobaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Graco
P1-C,加拿大,CA,吸奶器,竞品独立站,Spectra DTC (spectra-baby.com),"Spectra S1, Spectra S2, Spectra S2 Plus",https://www.spectra-baby.com/collections/breast-pumps,"site:spectra-baby.com ""review"" (""1 star"" OR ""disappointed"" OR ""not worth"")",https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%221+star%22+OR+%22disappointed%22+OR+%22not+worth%22%29,BATCH-P1C-CA-Spectra
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Spectra S1,https://www.amazon.ca/s?k=Spectra+S1&rh=p_72%3A1-2,"site:amazon.ca ""Spectra S1"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Spectra+S1%22+review+problem,BATCH-P1C-CA-Spectra
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Spectra S2,https://www.amazon.ca/s?k=Spectra+S2&rh=p_72%3A1-2,"site:amazon.ca ""Spectra S2"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Spectra+S2%22+review+problem,BATCH-P1C-CA-Spectra
P1-C,加拿大,CA,吸奶器,竞品独立站Google定向,Google → spectra-baby.com,Spectra negative reviews,https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:spectra-baby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Spectra
P1-C,加拿大,CA,吸奶器,竞品独立站,Medela DTC (medela.ca),"Medela Pump in Style, Medela Swing Maxi, Medela Freestyle Flex",https://www.medela.com/breastfeeding/products/breast-pumps,"site:medela.com ""review"" (""disappointed"" OR ""problem"" OR ""issue"")",https://www.google.com/search?q=site%3Amedela.com+%22review%22+%28%22disappointed%22+OR+%22problem%22+OR+%22issue%22%29,BATCH-P1C-CA-Medela
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Medela Pump in Style,https://www.amazon.ca/s?k=Medela+Pump+in+Style&rh=p_72%3A1-2,"site:amazon.ca ""Medela Pump in Style"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Medela+Pump+in+Style%22+review+problem,BATCH-P1C-CA-Medela
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Medela Swing Maxi,https://www.amazon.ca/s?k=Medela+Swing+Maxi&rh=p_72%3A1-2,"site:amazon.ca ""Medela Swing Maxi"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Medela+Swing+Maxi%22+review+problem,BATCH-P1C-CA-Medela
P1-C,加拿大,CA,吸奶器,竞品独立站Google定向,Google → medela.ca,Medela negative reviews,https://www.google.com/search?q=site%3Amedela.ca+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:medela.ca ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Amedela.ca+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Medela
P1-C,加拿大,CA,吸奶器,竞品独立站,Momcozy DTC (momcozy.com),"Momcozy M5, Momcozy M9, Momcozy S12 Pro",https://momcozy.com/collections/wearable-breast-pumps,"site:momcozy.com ""review"" (""suction"" OR ""leak"" OR ""noise"" OR ""not worth"")",https://www.google.com/search?q=site%3Amomcozy.com+%22review%22+%28%22suction%22+OR+%22leak%22+OR+%22noise%22+OR+%22not+worth%22%29,BATCH-P1C-CA-Momcozy
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Momcozy M5,https://www.amazon.ca/s?k=Momcozy+M5&rh=p_72%3A1-2,"site:amazon.ca ""Momcozy M5"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Momcozy+M5%22+review+problem,BATCH-P1C-CA-Momcozy
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Momcozy M9,https://www.amazon.ca/s?k=Momcozy+M9&rh=p_72%3A1-2,"site:amazon.ca ""Momcozy M9"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Momcozy+M9%22+review+problem,BATCH-P1C-CA-Momcozy
P1-C,加拿大,CA,吸奶器,竞品独立站Google定向,Google → momcozy.com,Momcozy negative reviews,https://www.google.com/search?q=site%3Amomcozy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:momcozy.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Amomcozy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Momcozy
P1-C,加拿大,CA,吸奶器,竞品独立站,Lansinoh DTC (lansinoh.com),"Lansinoh Smartpump 2.0, Lansinoh Manual Breast Pump",https://lansinoh.com/collections/breast-pumps,"site:lansinoh.com ""review"" (""suction"" OR ""pain"" OR ""leak"")",https://www.google.com/search?q=site%3Alansinoh.com+%22review%22+%28%22suction%22+OR+%22pain%22+OR+%22leak%22%29,BATCH-P1C-CA-Lansinoh
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Lansinoh Smartpump 2.0,https://www.amazon.ca/s?k=Lansinoh+Smartpump+2.0&rh=p_72%3A1-2,"site:amazon.ca ""Lansinoh Smartpump 2.0"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Lansinoh+Smartpump+2.0%22+review+problem,BATCH-P1C-CA-Lansinoh
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Lansinoh Manual Breast Pump,https://www.amazon.ca/s?k=Lansinoh+Manual+Breast+Pump&rh=p_72%3A1-2,"site:amazon.ca ""Lansinoh Manual Breast Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Lansinoh+Manual+Breast+Pump%22+review+problem,BATCH-P1C-CA-Lansinoh
P1-C,加拿大,CA,吸奶器,竞品独立站Google定向,Google → lansinoh.com,Lansinoh negative reviews,https://www.google.com/search?q=site%3Alansinoh.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:lansinoh.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Alansinoh.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Lansinoh
P1-C,加拿大,CA,吸奶器,竞品独立站,Haakaa DTC (haakaa.com),"Haakaa Silicone Breast Pump, Haakaa Wearable Pump",https://www.haakaa.com/collections/breast-pumps,"site:haakaa.com ""review"" (""suction"" OR ""spill"" OR ""silicone"")",https://www.google.com/search?q=site%3Ahaakaa.com+%22review%22+%28%22suction%22+OR+%22spill%22+OR+%22silicone%22%29,BATCH-P1C-CA-Haakaa
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Haakaa Silicone Breast Pump,https://www.amazon.ca/s?k=Haakaa+Silicone+Breast+Pump&rh=p_72%3A1-2,"site:amazon.ca ""Haakaa Silicone Breast Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Haakaa+Silicone+Breast+Pump%22+review+problem,BATCH-P1C-CA-Haakaa
P1-C,加拿大,CA,吸奶器,竞品Amazon评论,Amazon (amazon.ca),Haakaa Wearable Pump,https://www.amazon.ca/s?k=Haakaa+Wearable+Pump&rh=p_72%3A1-2,"site:amazon.ca ""Haakaa Wearable Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Haakaa+Wearable+Pump%22+review+problem,BATCH-P1C-CA-Haakaa
P1-C,加拿大,CA,吸奶器,竞品独立站Google定向,Google → haakaa.com,Haakaa negative reviews,https://www.google.com/search?q=site%3Ahaakaa.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:haakaa.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Ahaakaa.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Haakaa
P1-C,加拿大,CA,喂养电器,竞品独立站,Philips Avent DTC (philips.com),"Avent Fast Bottle Warmer, Avent 3-in-1 Sterilizer, Avent Premium Sterilizer",https://www.philips.com/c-m-mo/philips-avent-bottle-warmers-sterilizers,"site:philips.com ""avent"" ""review"" (""slow"" OR ""uneven"" OR ""difficult"")",https://www.google.com/search?q=site%3Aphilips.com+%22avent%22+%22review%22+%28%22slow%22+OR+%22uneven%22+OR+%22difficult%22%29,BATCH-P1C-CA-PhilipsAvent
P1-C,加拿大,CA,喂养电器,竞品Amazon评论,Amazon (amazon.ca),Avent Fast Bottle Warmer,https://www.amazon.ca/s?k=Avent+Fast+Bottle+Warmer&rh=p_72%3A1-2,"site:amazon.ca ""Avent Fast Bottle Warmer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Avent+Fast+Bottle+Warmer%22+review+problem,BATCH-P1C-CA-PhilipsAvent
P1-C,加拿大,CA,喂养电器,竞品Amazon评论,Amazon (amazon.ca),Avent 3-in-1 Sterilizer,https://www.amazon.ca/s?k=Avent+3-in-1+Sterilizer&rh=p_72%3A1-2,"site:amazon.ca ""Avent 3-in-1 Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Avent+3-in-1+Sterilizer%22+review+problem,BATCH-P1C-CA-PhilipsAvent
P1-C,加拿大,CA,喂养电器,竞品独立站Google定向,Google → philips.com,Philips Avent negative reviews,https://www.google.com/search?q=site%3Aphilips.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:philips.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Aphilips.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-PhilipsAvent
P1-C,加拿大,CA,喂养电器,竞品独立站,Dr. Brown's DTC (drbrownsbaby.com),"Dr. Brown's Deluxe Bottle Sterilizer, Dr. Brown's Bottle Warmer",https://www.drbrownsbaby.com/product-type/feeding/,"site:drbrownsbaby.com ""review"" (""colic"" OR ""hard to clean"" OR ""parts"")",https://www.google.com/search?q=site%3Adrbrownsbaby.com+%22review%22+%28%22colic%22+OR+%22hard+to+clean%22+OR+%22parts%22%29,BATCH-P1C-CA-Dr.Brown's
P1-C,加拿大,CA,喂养电器,竞品Amazon评论,Amazon (amazon.ca),Dr. Brown's Deluxe Bottle Sterilizer,https://www.amazon.ca/s?k=Dr.+Brown%27s+Deluxe+Bottle+Sterilizer&rh=p_72%3A1-2,"site:amazon.ca ""Dr. Brown's Deluxe Bottle Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Dr.+Brown%27s+Deluxe+Bottle+Sterilizer%22+review+problem,BATCH-P1C-CA-Dr.Brown's
P1-C,加拿大,CA,喂养电器,竞品Amazon评论,Amazon (amazon.ca),Dr. Brown's Bottle Warmer,https://www.amazon.ca/s?k=Dr.+Brown%27s+Bottle+Warmer&rh=p_72%3A1-2,"site:amazon.ca ""Dr. Brown's Bottle Warmer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Dr.+Brown%27s+Bottle+Warmer%22+review+problem,BATCH-P1C-CA-Dr.Brown's
P1-C,加拿大,CA,喂养电器,竞品独立站Google定向,Google → drbrownsbaby.com,Dr. Brown's negative reviews,https://www.google.com/search?q=site%3Adrbrownsbaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:drbrownsbaby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Adrbrownsbaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Dr.Brown's
P1-C,加拿大,CA,喂养电器,竞品独立站,Baby Brezza DTC (babybrezza.com),"Formula Pro Advanced, Baby Brezza Sterilizer Dryer, One Step Sterilizer",https://www.babybrezza.com/collections/all,"site:babybrezza.com ""review"" (""formula"" OR ""dispenser"" OR ""error"" OR ""not accurate"")",https://www.google.com/search?q=site%3Ababybrezza.com+%22review%22+%28%22formula%22+OR+%22dispenser%22+OR+%22error%22+OR+%22not+accurate%22%29,BATCH-P1C-CA-BabyBrezza
P1-C,加拿大,CA,喂养电器,竞品Amazon评论,Amazon (amazon.ca),Formula Pro Advanced,https://www.amazon.ca/s?k=Formula+Pro+Advanced&rh=p_72%3A1-2,"site:amazon.ca ""Formula Pro Advanced"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Formula+Pro+Advanced%22+review+problem,BATCH-P1C-CA-BabyBrezza
P1-C,加拿大,CA,喂养电器,竞品Amazon评论,Amazon (amazon.ca),Baby Brezza Sterilizer Dryer,https://www.amazon.ca/s?k=Baby+Brezza+Sterilizer+Dryer&rh=p_72%3A1-2,"site:amazon.ca ""Baby Brezza Sterilizer Dryer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Baby+Brezza+Sterilizer+Dryer%22+review+problem,BATCH-P1C-CA-BabyBrezza
P1-C,加拿大,CA,喂养电器,竞品独立站Google定向,Google → babybrezza.com,Baby Brezza negative reviews,https://www.google.com/search?q=site%3Ababybrezza.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:babybrezza.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Ababybrezza.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-BabyBrezza
P1-C,加拿大,CA,家居出行,竞品独立站,Bugaboo DTC (bugaboo.com),"Bugaboo Fox 5, Bugaboo Dragonfly, Bugaboo Butterfly",https://www.bugaboo.com/strollers/,"site:bugaboo.com ""review"" (""heavy"" OR ""price"" OR ""fold"" OR ""wheel"")",https://www.google.com/search?q=site%3Abugaboo.com+%22review%22+%28%22heavy%22+OR+%22price%22+OR+%22fold%22+OR+%22wheel%22%29,BATCH-P1C-CA-Bugaboo
P1-C,加拿大,CA,家居出行,竞品Amazon评论,Amazon (amazon.ca),Bugaboo Fox 5,https://www.amazon.ca/s?k=Bugaboo+Fox+5&rh=p_72%3A1-2,"site:amazon.ca ""Bugaboo Fox 5"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Bugaboo+Fox+5%22+review+problem,BATCH-P1C-CA-Bugaboo
P1-C,加拿大,CA,家居出行,竞品Amazon评论,Amazon (amazon.ca),Bugaboo Dragonfly,https://www.amazon.ca/s?k=Bugaboo+Dragonfly&rh=p_72%3A1-2,"site:amazon.ca ""Bugaboo Dragonfly"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Bugaboo+Dragonfly%22+review+problem,BATCH-P1C-CA-Bugaboo
P1-C,加拿大,CA,家居出行,竞品独立站Google定向,Google → bugaboo.com,Bugaboo negative reviews,https://www.google.com/search?q=site%3Abugaboo.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:bugaboo.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Abugaboo.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Bugaboo
P1-C,加拿大,CA,家居出行,竞品独立站,UPPAbaby DTC (uppababy.com),"UPPAbaby Vista V3, UPPAbaby Cruz V3, UPPAbaby Minu V2",https://uppababy.com/strollers/,"site:uppababy.com ""review"" (""heavy"" OR ""bulky"" OR ""fold"" OR ""price"")",https://www.google.com/search?q=site%3Auppababy.com+%22review%22+%28%22heavy%22+OR+%22bulky%22+OR+%22fold%22+OR+%22price%22%29,BATCH-P1C-CA-UPPAbaby
P1-C,加拿大,CA,家居出行,竞品Amazon评论,Amazon (amazon.ca),UPPAbaby Vista V3,https://www.amazon.ca/s?k=UPPAbaby+Vista+V3&rh=p_72%3A1-2,"site:amazon.ca ""UPPAbaby Vista V3"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22UPPAbaby+Vista+V3%22+review+problem,BATCH-P1C-CA-UPPAbaby
P1-C,加拿大,CA,家居出行,竞品Amazon评论,Amazon (amazon.ca),UPPAbaby Cruz V3,https://www.amazon.ca/s?k=UPPAbaby+Cruz+V3&rh=p_72%3A1-2,"site:amazon.ca ""UPPAbaby Cruz V3"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22UPPAbaby+Cruz+V3%22+review+problem,BATCH-P1C-CA-UPPAbaby
P1-C,加拿大,CA,家居出行,竞品独立站Google定向,Google → uppababy.com,UPPAbaby negative reviews,https://www.google.com/search?q=site%3Auppababy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:uppababy.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Auppababy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-UPPAbaby
P1-C,加拿大,CA,家居出行,竞品独立站,Graco DTC (gracobaby.com),"Graco Modes Pramette, Graco Jetsetter, Graco FastAction",https://www.gracobaby.com/strollers/,"site:gracobaby.com ""review"" (""heavy"" OR ""fold"" OR ""wheel"" OR ""recline"")",https://www.google.com/search?q=site%3Agracobaby.com+%22review%22+%28%22heavy%22+OR+%22fold%22+OR+%22wheel%22+OR+%22recline%22%29,BATCH-P1C-CA-Graco
P1-C,加拿大,CA,家居出行,竞品Amazon评论,Amazon (amazon.ca),Graco Modes Pramette,https://www.amazon.ca/s?k=Graco+Modes+Pramette&rh=p_72%3A1-2,"site:amazon.ca ""Graco Modes Pramette"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Graco+Modes+Pramette%22+review+problem,BATCH-P1C-CA-Graco
P1-C,加拿大,CA,家居出行,竞品Amazon评论,Amazon (amazon.ca),Graco Jetsetter,https://www.amazon.ca/s?k=Graco+Jetsetter&rh=p_72%3A1-2,"site:amazon.ca ""Graco Jetsetter"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.ca+%22Graco+Jetsetter%22+review+problem,BATCH-P1C-CA-Graco
P1-C,加拿大,CA,家居出行,竞品独立站Google定向,Google → gracobaby.com,Graco negative reviews,https://www.google.com/search?q=site%3Agracobaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:gracobaby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Agracobaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-CA-Graco
P1-C,英国,GB,吸奶器,竞品独立站,Spectra DTC (spectra-baby.com),"Spectra S1, Spectra S2, Spectra S2 Plus",https://www.spectra-baby.com/collections/breast-pumps,"site:spectra-baby.com ""review"" (""1 star"" OR ""disappointed"" OR ""not worth"")",https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%221+star%22+OR+%22disappointed%22+OR+%22not+worth%22%29,BATCH-P1C-GB-Spectra
P1-C,英国,GB,吸奶器,竞品Amazon评论,Amazon (amazon.co.uk),Spectra S1,https://www.amazon.co.uk/s?k=Spectra+S1&rh=p_72%3A1-2,"site:amazon.co.uk ""Spectra S1"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.co.uk+%22Spectra+S1%22+review+problem,BATCH-P1C-GB-Spectra
P1-C,英国,GB,吸奶器,竞品Amazon评论,Amazon (amazon.co.uk),Spectra S2,https://www.amazon.co.uk/s?k=Spectra+S2&rh=p_72%3A1-2,"site:amazon.co.uk ""Spectra S2"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.co.uk+%22Spectra+S2%22+review+problem,BATCH-P1C-GB-Spectra
P1-C,英国,GB,吸奶器,竞品独立站Google定向,Google → spectra-baby.com,Spectra negative reviews,https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:spectra-baby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-GB-Spectra
P1-C,英国,GB,吸奶器,竞品独立站,Medela DTC (medela.co.uk),"Medela Pump in Style, Medela Swing Maxi, Medela Freestyle Flex",https://www.medela.com/breastfeeding/products/breast-pumps,"site:medela.com ""review"" (""disappointed"" OR ""problem"" OR ""issue"")",https://www.google.com/search?q=site%3Amedela.com+%22review%22+%28%22disappointed%22+OR+%22problem%22+OR+%22issue%22%29,BATCH-P1C-GB-Medela
P1-C,英国,GB,吸奶器,竞品Amazon评论,Amazon (amazon.co.uk),Medela Pump in Style,https://www.amazon.co.uk/s?k=Medela+Pump+in+Style&rh=p_72%3A1-2,"site:amazon.co.uk ""Medela Pump in Style"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.co.uk+%22Medela+Pump+in+Style%22+review+problem,BATCH-P1C-GB-Medela
P1-C,英国,GB,吸奶器,竞品Amazon评论,Amazon (amazon.co.uk),Medela Swing Maxi,https://www.amazon.co.uk/s?k=Medela+Swing+Maxi&rh=p_72%3A1-2,"site:amazon.co.uk ""Medela Swing Maxi"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.co.uk+%22Medela+Swing+Maxi%22+review+problem,BATCH-P1C-GB-Medela
