阶段,国家,国家编码,产品品线,平台类型,平台,搜索词,URL,批次编码
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → OCU,Baby Brezza on OCU,https://www.google.com/search?q=site%3Aocu.org+%22Baby+Brezza%22+an%C3%A1lisis,BATCH-P2B-BabyBrezza
P2-B,全球,GLOBAL,喂养电器,第三方评测,Trustpilot → Chicco,Chicco,https://www.trustpilot.com/review/chiccousa.com,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Wirecutter,Chicco on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22Chicco%22+review,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → BabyGearLab,Chicco on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22Chicco%22+review,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Which?,Chicco on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22Chicco%22+review,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Stiftung Warentest,Chicco on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22Chicco%22+test,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Les Numériques,Chicco on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22Chicco%22+test,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → OCU,Chicco on OCU,https://www.google.com/search?q=site%3Aocu.org+%22Chicco%22+an%C3%A1lisis,BATCH-P2B-Chicco
P2-B,全球,GLOBAL,喂养电器,第三方评测,Trustpilot → NUK,NUK,https://www.trustpilot.com/review/nuk.com,BATCH-P2B-NUK
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Wirecutter,NUK on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22NUK%22+review,BATCH-P2B-NUK
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → BabyGearLab,NUK on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22NUK%22+review,BATCH-P2B-NUK
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Which?,NUK on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22NUK%22+review,BATCH-P2B-NUK
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Stiftung Warentest,NUK on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22NUK%22+test,BATCH-P2B-NUK
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → Les Numériques,NUK on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22NUK%22+test,BATCH-P2B-NUK
P2-B,全球,GLOBAL,喂养电器,第三方评测Google,Google → OCU,NUK on OCU,https://www.google.com/search?q=site%3Aocu.org+%22NUK%22+an%C3%A1lisis,BATCH-P2B-NUK
P2-B,全球,GLOBAL,家居出行,第三方评测,Trustpilot → Bugaboo,Bugaboo,https://www.trustpilot.com/review/bugaboo.com,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Wirecutter,Bugaboo on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22Bugaboo%22+review,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → BabyGearLab,Bugaboo on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22Bugaboo%22+review,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Which?,Bugaboo on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22Bugaboo%22+review,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Stiftung Warentest,Bugaboo on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22Bugaboo%22+test,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Les Numériques,Bugaboo on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22Bugaboo%22+test,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → OCU,Bugaboo on OCU,https://www.google.com/search?q=site%3Aocu.org+%22Bugaboo%22+an%C3%A1lisis,BATCH-P2B-Bugaboo
P2-B,全球,GLOBAL,家居出行,第三方评测,Trustpilot → UPPAbaby,UPPAbaby,https://www.trustpilot.com/review/uppababy.com,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Wirecutter,UPPAbaby on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22UPPAbaby%22+review,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → BabyGearLab,UPPAbaby on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22UPPAbaby%22+review,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Which?,UPPAbaby on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22UPPAbaby%22+review,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Stiftung Warentest,UPPAbaby on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22UPPAbaby%22+test,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Les Numériques,UPPAbaby on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22UPPAbaby%22+test,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → OCU,UPPAbaby on OCU,https://www.google.com/search?q=site%3Aocu.org+%22UPPAbaby%22+an%C3%A1lisis,BATCH-P2B-UPPAbaby
P2-B,全球,GLOBAL,家居出行,第三方评测,Trustpilot → Cybex,Cybex,https://www.trustpilot.com/review/cybex-online.com,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Wirecutter,Cybex on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22Cybex%22+review,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → BabyGearLab,Cybex on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22Cybex%22+review,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Which?,Cybex on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22Cybex%22+review,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Stiftung Warentest,Cybex on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22Cybex%22+test,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Les Numériques,Cybex on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22Cybex%22+test,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → OCU,Cybex on OCU,https://www.google.com/search?q=site%3Aocu.org+%22Cybex%22+an%C3%A1lisis,BATCH-P2B-Cybex
P2-B,全球,GLOBAL,家居出行,第三方评测,Trustpilot → Babyzen,Babyzen,https://www.trustpilot.com/review/babyzen.com,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Wirecutter,Babyzen on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22Babyzen%22+review,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → BabyGearLab,Babyzen on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22Babyzen%22+review,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Which?,Babyzen on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22Babyzen%22+review,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Stiftung Warentest,Babyzen on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22Babyzen%22+test,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Les Numériques,Babyzen on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22Babyzen%22+test,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → OCU,Babyzen on OCU,https://www.google.com/search?q=site%3Aocu.org+%22Babyzen%22+an%C3%A1lisis,BATCH-P2B-Babyzen
P2-B,全球,GLOBAL,家居出行,第三方评测,Trustpilot → Graco,Graco,https://www.trustpilot.com/review/gracobaby.com,BATCH-P2B-Graco
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Wirecutter,Graco on Wirecutter,https://www.google.com/search?q=site%3Anytimes.com%2Fwirecutter+%22Graco%22+review,BATCH-P2B-Graco
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → BabyGearLab,Graco on BabyGearLab,https://www.google.com/search?q=site%3Ababygearlab.com+%22Graco%22+review,BATCH-P2B-Graco
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Which?,Graco on Which?,https://www.google.com/search?q=site%3Awhich.co.uk+%22Graco%22+review,BATCH-P2B-Graco
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Stiftung Warentest,Graco on Stiftung Warentest,https://www.google.com/search?q=site%3Atest.de+%22Graco%22+test,BATCH-P2B-Graco
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → Les Numériques,Graco on Les Numériques,https://www.google.com/search?q=site%3Alesnumeriques.com+%22Graco%22+test,BATCH-P2B-Graco
P2-B,全球,GLOBAL,家居出行,第三方评测Google,Google → OCU,Graco on OCU,https://www.google.com/search?q=site%3Aocu.org+%22Graco%22+an%C3%A1lisis,BATCH-P2B-Graco
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @spectra,#spectra reviews complaints,https://www.instagram.com/explore/tags/spectrareview/,BATCH-P2C-Spectra
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Spectra Reviews,Spectra review complaint,https://www.facebook.com/search/posts/?q=Spectra+review+problem,BATCH-P2C-Spectra
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @medela,#medela reviews complaints,https://www.instagram.com/explore/tags/medelareview/,BATCH-P2C-Medela
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Medela Reviews,Medela review complaint,https://www.facebook.com/search/posts/?q=Medela+review+problem,BATCH-P2C-Medela
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @elvie,#elvie reviews complaints,https://www.instagram.com/explore/tags/elviereview/,BATCH-P2C-Elvie
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Elvie Reviews,Elvie review complaint,https://www.facebook.com/search/posts/?q=Elvie+review+problem,BATCH-P2C-Elvie
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @willow,#willow reviews complaints,https://www.instagram.com/explore/tags/willowreview/,BATCH-P2C-Willow
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Willow Reviews,Willow review complaint,https://www.facebook.com/search/posts/?q=Willow+review+problem,BATCH-P2C-Willow
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @momcozy,#momcozy reviews complaints,https://www.instagram.com/explore/tags/momcozyreview/,BATCH-P2C-Momcozy
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Momcozy Reviews,Momcozy review complaint,https://www.facebook.com/search/posts/?q=Momcozy+review+problem,BATCH-P2C-Momcozy
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @lansinoh,#lansinoh reviews complaints,https://www.instagram.com/explore/tags/lansinohreview/,BATCH-P2C-Lansinoh
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Lansinoh Reviews,Lansinoh review complaint,https://www.facebook.com/search/posts/?q=Lansinoh+review+problem,BATCH-P2C-Lansinoh
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @motifmedical,#motifmedical reviews complaints,https://www.instagram.com/explore/tags/motifmedicalreview/,BATCH-P2C-MotifMedical
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Motif Medical Reviews,Motif Medical review complaint,https://www.facebook.com/search/posts/?q=Motif+Medical+review+problem,BATCH-P2C-MotifMedical
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Instagram @haakaa,#haakaa reviews complaints,https://www.instagram.com/explore/tags/haakaareview/,BATCH-P2C-Haakaa
P2-C,全球,GLOBAL,吸奶器,竞品官方社媒,Facebook Haakaa Reviews,Haakaa review complaint,https://www.facebook.com/search/posts/?q=Haakaa+review+problem,BATCH-P2C-Haakaa
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Instagram @philipsavent,#philipsavent reviews complaints,https://www.instagram.com/explore/tags/philipsaventreview/,BATCH-P2C-PhilipsAvent
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Facebook Philips Avent Reviews,Philips Avent review complaint,https://www.facebook.com/search/posts/?q=Philips+Avent+review+problem,BATCH-P2C-PhilipsAvent
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Instagram @tommeetippee,#tommeetippee reviews complaints,https://www.instagram.com/explore/tags/tommeetippeereview/,BATCH-P2C-TommeeTippee
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Facebook Tommee Tippee Reviews,Tommee Tippee review complaint,https://www.facebook.com/search/posts/?q=Tommee+Tippee+review+problem,BATCH-P2C-TommeeTippee
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Instagram @drbrowns,#drbrowns reviews complaints,https://www.instagram.com/explore/tags/drbrownsreview/,BATCH-P2C-Dr.Brown's
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Facebook Dr. Brown's Reviews,Dr. Brown's review complaint,https://www.facebook.com/search/posts/?q=Dr.+Brown%27s+review+problem,BATCH-P2C-Dr.Brown's
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Instagram @babybrezza,#babybrezza reviews complaints,https://www.instagram.com/explore/tags/babybrezzareview/,BATCH-P2C-BabyBrezza
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Facebook Baby Brezza Reviews,Baby Brezza review complaint,https://www.facebook.com/search/posts/?q=Baby+Brezza+review+problem,BATCH-P2C-BabyBrezza
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Instagram @chicco,#chicco reviews complaints,https://www.instagram.com/explore/tags/chiccoreview/,BATCH-P2C-Chicco
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Facebook Chicco Reviews,Chicco review complaint,https://www.facebook.com/search/posts/?q=Chicco+review+problem,BATCH-P2C-Chicco
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Instagram @nuk,#nuk reviews complaints,https://www.instagram.com/explore/tags/nukreview/,BATCH-P2C-NUK
P2-C,全球,GLOBAL,喂养电器,竞品官方社媒,Facebook NUK Reviews,NUK review complaint,https://www.facebook.com/search/posts/?q=NUK+review+problem,BATCH-P2C-NUK
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Instagram @bugaboo,#bugaboo reviews complaints,https://www.instagram.com/explore/tags/bugabooreview/,BATCH-P2C-Bugaboo
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Facebook Bugaboo Reviews,Bugaboo review complaint,https://www.facebook.com/search/posts/?q=Bugaboo+review+problem,BATCH-P2C-Bugaboo
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Instagram @uppababy,#uppababy reviews complaints,https://www.instagram.com/explore/tags/uppababyreview/,BATCH-P2C-UPPAbaby
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Facebook UPPAbaby Reviews,UPPAbaby review complaint,https://www.facebook.com/search/posts/?q=UPPAbaby+review+problem,BATCH-P2C-UPPAbaby
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Instagram @cybex,#cybex reviews complaints,https://www.instagram.com/explore/tags/cybexreview/,BATCH-P2C-Cybex
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Facebook Cybex Reviews,Cybex review complaint,https://www.facebook.com/search/posts/?q=Cybex+review+problem,BATCH-P2C-Cybex
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Instagram @babyzen,#babyzen reviews complaints,https://www.instagram.com/explore/tags/babyzenreview/,BATCH-P2C-Babyzen
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Facebook Babyzen Reviews,Babyzen review complaint,https://www.facebook.com/search/posts/?q=Babyzen+review+problem,BATCH-P2C-Babyzen
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Instagram @graco,#graco reviews complaints,https://www.instagram.com/explore/tags/gracoreview/,BATCH-P2C-Graco
P2-C,全球,GLOBAL,家居出行,竞品官方社媒,Facebook Graco Reviews,Graco review complaint,https://www.facebook.com/search/posts/?q=Graco+review+problem,BATCH-P2C-Graco
